Description	Code
Sort the string list alphabetically	"

thislist = [""orange"", ""mango"", ""kiwi"", ""pineapple"", ""banana""]
thislist.sort()
print(f""Sorted List:{thislist}"")
"
of all elements in list	"lst = eval(input(""Enter list : ""))
mean = 0
sum = 0
for i in lst:
	sum = sum + i
print("" The mean of given list is :"", sum)
"
those alphabetically	"def SortTuple(tup):

	n = len(tup)

	for i in range(n):
        for j in range(n - i - 1):

            if tup[j][0] > tup[j + 1][0]:
                tup[j], tup[j + 1] = tup[j + 1], tup[j]

	return tup
"
write a python function to check if a given string is a palindrome	"def is_palindrome(string):
	return string == string[::-1]
"
Write a function to determine the bits used by any number	"

def totalBits(n):
	return f'total number of bits used in {n} is : {len(bin(n)[2: ])}'
"
1. write a python program to add two numbers	"num1 = 1.5
num2 = 6.3
sum = num1 + num2
print(f'Sum: {sum}')
"
Write a python function to Count the Number of Lines in a Text File	"def check_lines():
	fname = input(""file name: "")
	num_lines = 0
	with open(fname, 'r') as f:
        for line in f:
            num_lines += 1
	print(""Number of lines = "", num_lines)
"
iterate through rows	"for i in range(len(X)):
	
	for j in range(len(X[0])):
        result[j][i] = X[i][j]


for r in result:
	print(r)
"
Write a function to return the area of an ellipse	"def cal_area_ellipse(minor, major):
	pi = 3.14
	return pi * (minor * major)
"
write a python function to return the cube of a number	"

def cube(num):
	return num * num * num
"
write a python program to do lstrip on string	"

print('xyyzxxyxyy'.lstrip('xyy'))
"
Write a python program to print square matrix in Z form	"

arr = [[4, 5, 6, 8],
       [1, 2, 3, 1],
       [7, 8, 9, 4],
       [1, 8, 7, 5]]

n = len(arr[0])

i = 0
for j in range(0, n - 1):
	print(arr[i][j], end="" "")

k = 1
for i in range(0, n):
	for j in range(n, 0, -1):
        if(j == n - k):
            print(arr[i][j], end="" "")
            break
	k += 1


i = n - 1
for j in range(0, n):
	print(arr[i][j], end="" "")
"
logger provided by the user.	"def exception_simulator(logger):
	try:
        raise ValueError
	except ValueError:
        logger.exception(""ValueError occured in the function"")
"
Write a python function to extract even length words in String	"def findevenlenthwords(test_str):
	res = []
	for ele in test_str.split():
        if len(ele) % 2 == 0:
            res.append(ele)
	return res
"
dictionaries.	"list_of_dicts = [{""key1"": ""val1"", ""Country"": ""India""},
                 {""Country"": ""USA"", ""foo"": ""bar""},
                 {""foo"": ""bar"", ""foo2"": ""bar2""}]
unique_keys = []
for d in list_of_dicts:
	for key in d:
        if key not in unique_keys:
            unique_keys.append(key)
print(f""Number of unique keys: {len(unique_keys)}"")
"
the given list and return None if the list is empty	"def largest_and_smallest(list_of_nums):
	if list_of_nums:
        return max(list_of_nums), min(list_of_nums)
	else:
        return
"
write a program to strips every vowel from a string provided	"

vowels = ('a', 'e', 'i', 'o', 'u')
input_string = ""awesome""
.join([x for x in input_string.lower() if x not in vowels])
"
87 clone of orginal list with two functionality i. iterating and sequence	"class CustomListIter:
	

	def __init__(self):
        self.list_ = [1, 2, 3, 4]

	def __len__(self):
        return len(self.list_)

	def __getitem__(self, i):
        if isinstance(i, int):
            if i < 0:
                i = len(self.list_) + i

            if i < 0 or i >= len(self.list_):
                raise IndexError('Invalid Input')
            else:
                return self.list_[i]

	def __iter__(self):
        return self.CustomListIterator(self)

	class CustomListIterator:
        def __init__(self, other):
            self.count = 0
            self.other = other

        def __iter__(self):
            return self

        def __next__(self):
            if self.count < len(self.other.list_):
                self.count += 1
                return self.other.list_[self.count]
            else:
                raise StopIteration
"
integer in binary	"

num = int(input(""Enter an integer number: ""))


bits = num.bit_length()


print(""bits required to store "", num, "" = "", bits)
print(""binary value of "", num, "" is = "", bin(num))
"
write a python function to convert list of strings to list of integers	"def stringlist_to_intlist(sList):
	return(list(map(int, sList)))
"
removing the 0th, 2nd, 4th,6th numbers in [12,24,35,70,88,120,155].	"li = [12, 24, 35, 70, 88, 120, 155]
li = [x for (i, x) in enumerate(li) if i % 2 != 0]
print(li)
"
write a Python function to check if a string is binary or not	"

def check2(string):

	t = '01'

	count = 0
	for char in string:

        if char not in t:
            count = 1
            break
        else:
            pass
	if count:
        print(""No, string is not binary"")
	else:
        print(""Yes, string is binary"")


string = ""001021010001010""


check2(string)
"
is the index and the value is the item in the list	"my_list = [1, 8, 1, 2, 2, 9]
my_dict = {key: value for key, value in enumerate(my_list)}
"
write a python program to multiply three numbers	"num1 = 1.5
num2 = 6.3
num3 = -2.3
product = num1 * num2 * num3
print(f'Product: {product}')
"
3x4 matrix	"Y = [[5, 8, 1, 2],
     [6, 7, 3, 0],
     [4, 5, 9, 1]]
"
write a python function to list all unique elements, preserving order	"def unique_everseen(iterable, key=None):
	from itertools import filterfalse
	
	
	seen = set()
	seen_add = seen.add
	if key is None:
        for element in filterfalse(seen.__contains__, iterable):
            seen_add(element)
            yield element
	else:
        for element in iterable:
            k = key(element)
            if k not in seen:
                seen_add(k)
                yield element
"
Generate  random String of length 5	"import random
import string


def randomString(stringLength):
	
	letters = string.ascii_letters
	return ''.join(random.choice(letters) for i in range(stringLength))


print(""Random String is "", randomString(5))
"
Write a function to return the area of a square	"def cal_area_square(side):
	return side**2
"
write a python function to calculate factorial of a given number	"

def factorial(n):
	fact = 1
	for num in range(2, n + 1):
        fact = fact * num
	return(fact)
"
memory it consumes	"import sys
string_var = 'string variable'
print(sys.getsizeof(string_var))
"
Write a Python Program to Concatenate Two Dictionaries Into One	"

def concat_dic(d1, d2):
	return d1.update(d2)
"
order	"def sort_descending(list_to_be_sorted):
	return sorted(list_to_be_sorted, reverse=True)
"
for the below list	"

def comb_sort(alist):
	def swap(i, j):
        alist[i], alist[j] = alist[j], alist[i]

	gap = len(alist)
	shrink = 1.3

	no_swap = False
	while not no_swap:
        gap = int(gap / shrink)

        if gap < 1:
            gap = 1
            no_swap = True
        else:
            no_swap = False

        i = 0
        while i + gap < len(alist):
            if alist[i] > alist[i + gap]:
                swap(i, i + gap)
                no_swap = False
            i = i + 1


alist = [2, 3, 5, 6, 4, 5]
comb_sort(alist)
print('Sorted list: ', end='')
print(alist)
"
38 write a python program to extract digits from Tuple list and print it	"

test_list = [(15, 3), (3, 9), (1, 10), (99, 2)]

print(""The original list is : "" + str(test_list))
s = []
k = ''
for i in test_list:
	for j in i:
        k += str(j)
print(list(set(k)))
"
check if the number of terms is valid	"if nterms <= 0:
	print(""Plese enter a positive integer"")
else:
	print(""Fibonacci sequence:"")
	for i in range(nterms):
        print(recur_fibo(i))
"
mathematic	"

E = {0, 2, 4, 6, 8}
N = {1, 2, 3, 4, 5}


print(""Union of E and N is"", E | N)
"
Write a python program to print all pair combinations of 2 tuples.	"

test_tuple1 = (4, 5)
test_tuple2 = (7, 8)

res = [(a, b) for a in test_tuple1 for b in test_tuple2]
res = res + [(a, b) for a in test_tuple2 for b in test_tuple1]

print(""The filtered tuple : "" + str(res))
"
number or not	"def power_checker(a, b):
	import math
	s = math.log(a, b)
	p = round(s)
	if (b**p) == a:
        return f'{a} is the power of {b}.'
	else:
        return f'{a} is NOT the power of {b}.'
"
50: 2, 30: 1}	"import collections
my_list = [10, 10, 10, 10, 20, 20, 20, 20, 40, 40, 50, 50, 30]
print(""Original List : "", my_list)
ctr = collections.Counter(my_list)
print(""Frequency of the elements in the List : "", ctr)
"
20. Python Program to Check Armstrong Number (for 3 digits)	"num = 1634
order = len(str(num))
sum = 0
temp = num
while temp > 0:
	digit = temp % 10
	sum += digit ** order
	temp //= 10
if num == sum:
	print(num, ""is an Armstrong number"")
else:
	print(num, ""is not an Armstrong number"")
"
Create a list comprehension	"def listcompr(n=100000):
	my_list = [i for i in range(n) if i % 5 == 0]
	return my_list
"
of Tuple Values	"test_dict = {'END Program': (5, 6, 1), 'is': (8, 3, 2), 'best': (1, 4, 9)}
prod_list = []
for x in zip(*test_dict.values()):
	res = 1
	for ele in x:
        res *= ele
	prod_list.append(res)
	res = tuple(prod_list)
print(""The product from each index is : "" + str(res))
"
in a pair of strings	"

str1 = ""ababccd12@""
str2 = ""bb123cca1@""


matched_chars = set(str1) & set(str2)
print(""No. of matching characters are : "" + str(len(matched_chars)))
"
Write a Python function to return stella octangula numbers	"def stella_octangula_number(n):
	if n >= 0:
        return n * (2**n - 1)
"
both user provided lists.	"

def similarity(a, b):
	return [item for item in a if item in b]
"
Write a python program to check if a number is a Perfect number.	"n = int(input(""Enter any number: ""))
sum1 = 0
for i in range(1, n):
	if(n % i == 0):
        sum1 = sum1 + i
	if (sum1 == n):
        print(""The number is a Perfect number!"")
	else:
        print(""The number is not a Perfect number!"")
"
write a python function to find rightmost value less than or equal to x	"def find_le(a, x):
	from bisect import bisect_right
	i = bisect_right(a, x)
	if i:
        return a[i - 1]
	raise ValueError
"
Returns an integer value for the given character	"str = ""A""
val = ord(str)
print(f""Integer value for the given character?:{val}"")
"
write a python function to convert a list of characters to a string	"

def convert(s):
	str1 = """"
	return(str1.join(s))
"
11. python program to find whether a number is prime	"def test_prime(n):
	if (n == 1):
        return False
	elif (n == 2):
        return True
	else:
        for x in range(2, n):
            if(n % x == 0):
                return False
        return True
"
"remembering only the element just seen."""	"def unique_justseen(iterable, key=None):
	import operator
	from itertools import groupby
	return map(next, map(operator.itemgetter(1), groupby(iterable, key)))
"
1 write a program to get numbers = 1,3,11,42,12,4001	"from collections import Iterable
highestnumber = -999
for i in numbers:
	if i > highestnumber:
        highestnumber = i
print(numbers.index(highestnumber))
"
write a Python function to find sum of all items in a Dictionary	"

def returnSum(dict):

	sum = 0
	for i in dict.values():
        sum = sum + i

	return sum


dict = {'a': 100, 'b': 200, 'c': 300}
print(""Sum :"", returnSum(dict))
"
write a python program to add two matrices	"

X = [[12, 7, 3],
     [4, 5, 6],
     [7, 8, 9]]
Y = [[5, 8, 1],
     [6, 7, 3],
     [4, 5, 9]]
result = [[0, 0, 0],
          [0, 0, 0],
          [0, 0, 0]]
for i in range(len(X)):
	for j in range(len(X[0])):
        result[i][j] = X[i][j] + Y[i][j]
for r in result:
	print(r)
"
between 2000 and 3200 (both included).	"l = []
for i in range(2000, 3201):
	if (i % 7 == 0) and (i % 5 != 0):
        l.append(str(i))


print(','.join(l))
"
write a python function to return the factors of a number	"def get_factors(num):
	factors = []
	for i in range(1, num + 1):
        if num % i == 0:
            factors.append(i)
	return factors
"
write a program to print words frequncy in a given string	"

test_str = ""It is a great meal at a great restaurant on a great day""
print(""Original String: "" + str(test_str))
res = {key: test_str.count(key) for key in test_str.split()}
print(""The words frequency: "" + str(res))
"
90 show generator is faster than list	"def show_gen_fast():
	from timeit import timeit
	dt = timeit(""[num for num in fib(100) ]"", globals=globals(), number=1)
	return dt
"
write a python function to return powerset of iterable	"def powerset(iterable):
	
	from itertools import chain, combinations
	s = list(iterable)
	return chain.from_iterable(combinations(s, r) for r in range(len(s) + 1))


list(powerset([1, 2, 3]))
"
resistance is R and voltage is V	"def cal_current(resistance: float, voltage: float) -> float:
	return voltage / resistance
"
write a python program to print the minimum integer in a list of integers	"lst = [23, 10, 55, 43]
lst.sort()
min = lst[0]
"
write Python code to demonstrate to remove the tuples if certain criteria met	"

ini_tuple = [('b', 100), ('c', 200), ('c', 45),
             ('d', 876), ('e', 75)]


print(""intial_list"", str(ini_tuple))
result = [i for i in ini_tuple if i[1] <= 100]
print(""Resultant tuple list: "", str(result))
"
write a python function to load pickle data from a file	"def load_pickle_data(pickle_file):
	import pickle
	with open(pickle_file, 'rb') as f:
        data = pickle.load(f)
	return data
"
numbers	"

def median(list):
	list.sort()
	list_length = len(list)
	if list_length % 2 == 0:
        return (list[int(list_length / 2) - 1] + list[int(list_length / 2)]) / 2
	return float(list[int(list_length / 2)])
"
string and return the resultant list	"def nchar(list1, no):
	return [items[:no] + items[-no:] for items in list1]


list1 = [""ROHAN"", ""END""]
nchar(list1, 3)
"
driver code	"print(checkString('helloworld'))
print(checkString('helloworld2020'))
"
9 write a function to remove empty tuples from a list and print	"def remove_empty_tuple(num1: list):
	if isinstance(num1, list):
        modified = list(filter(None, num1))
        print(modified)
"
Write a Python function to count occurrence of a word in the given text	"def text_searcher(text, word):
	count = 0
	for w in text.split():
        if w == word:
            count = count + 1
	return count
"
28 write a program that return the first n numbers from a list	"

def sub_list(lst, ind):
	return lst[:ind]


print(sub_list([1, 2, 3, 4, 5, 56], 3))
"
either 2 or 3 and lies between 1 and 50.	"for i in range(0, 50):
	if((i % 2 != 0) & (i % 3 != 0)):
        print(i)
"
print it	"

string = ' asdga \t\r'
print(string.strip())
"
Write a function that returns length of the list	"

def list_length(l):
	return len(l)
"
Python program to create histogram from given list	"def histogram(items):
	for n in items:
        output = ''
        times = n
        while times > 0:
            output += '*'
            times = times - 1
        print(output)


histogram([2, 3, 6, 5])
"
97 write a program to copy odd lines of one file to another file	"

file1 = open('file1.txt', 'r')
file2 = open('file2.txt', 'w')


lines = file1.readlines()
type(lines)
for i in range(0, len(lines)):
	if(i % 2 != 0):
        file2.write(lines[i])


file1.close()
file2.close()


file1 = open('file1.txt', 'r')
file2 = open('file2.txt', 'r')


str1 = file1.read()
str2 = file2.read()


print(""file1 content..."")
print(str1)


print()  


print(""file2 content..."")
print(str2)


file1.close()
file2.close()
"
numbers until the list becomes empty	"def remove_nums(int_list):
	position = 3 - 1
	idx = 0
	len_list = (len(int_list))
	while len_list > 0:
        idx = (position + idx) % len_list
        print(int_list.pop(idx))
        len_list -= 1
"
33 write a python function to flatten nested lists	"from collections import Iterable


def flatten(lis):
	for item in lis:
        if isinstance(item, Iterable) and not isinstance(item, str):
            for x in flatten(item):
                yield x
        else:
            yield item
"
write a Python program to find Least Frequent Character in String	"

test_str = ""GeeksforGeeks""
print(""The original string is : "" + test_str)


all_freq = {}
for i in test_str:
	if i in all_freq:
        all_freq[i] += 1
	else:
        all_freq[i] = 1
res = min(all_freq, key=all_freq.get)


print(""The minimum of all characters in GeeksforGeeks is : "" + res)
"
write a function to execute a string containing Python code	"def execute_python_code(a_string):
	return exec(a_string)
"
write a python program to convert raw string integer inputs to integers	"

str_input = ""1 2 3 4 5 6""


int_input = map(int, str_input.split())


print(list(int_input))
"
write a python program to delete an element from a list	"

list = ['a', 'bc', 'd', 'e']
element = 'bc'
list.remove(element)
"
write a python function to print pyramid pattern	"def pyramid_pattern(symbol='*', count=4):
	for i in range(1, count + 1):
        print(' ' * (count - i) + symbol * i, end='')
        print(symbol * (i - 1) + ' ' * (count - i))
"
prints the set	"my_set = {1, 2, 3}
my_list = [4, 5, 6]
my_set.update(my_list)
print(my_set)
"
Write a function that returns sum of all odd elements in the list	"def sum_odd_elements(l: list):
	return sum([i for i in l if i % 2 == 1])
"
13 how to add a blank line in python	"print("""")
"
gas equation - Volume V, and Temperatue T are given	"def find_pressure_of_ideal_gas(volume: float, temp: float, n: float) -> float:
	r = 8.3145  
	return (n * r * temp) / volume
"
73 write a program to print a pattern of stars (*)	"

for row in range(0, 5):
	for column in range(0, row + 1):
        print(""*"", end="""")

	
	print('\r')
"
19. Python Program to Check Armstrong Number (for 3 digits)	"

num = int(input(""Enter a number: ""))
"
Test if string starts with H	"word = ""Hello World""
check = word.startswith('H')
print(f""String starts with H?:{check}"")
"
write a python function to return first n items of the iterable as a list	"def take(n, iterable):
	import itertools
	return list(itertools.islice(iterable, n))
"
write a python function to check if all elements in a list are unique.	"

def all_unique(lst):
	return len(lst) == len(set(lst))
"
[12,24,35,70,88,120,155].	"li = [12, 24, 35, 70, 88, 120, 155]
li = [x for x in li if x % 5 != 0 and x % 7 != 0]
print(li)
"
for identity	"a = 1
b = 1
print('a is b', bool(a is b))
c = 999
d = 999
print('c is d', bool(c is d))
"
write a program to add two matrix	"A = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]
B = [[1, 2, 3], [4, 5, 6], [7, 8, 9]]


rowsA = len(A)
colsA = len(A[0])
rowsB = len(B)
colsB = len(B[0])
if rowsA != rowsB or colsA != colsB:
	raise ArithmeticError('Matrices are NOT the same size.')


C = []
while len(C) < rowsA:
	C.append([])
	while len(C[-1]) < colsB:
        C[-1].append(0.0)


for i in range(rowsA):
	for j in range(colsB):
        C[i][j] = A[i][j] + B[i][j]


print(""Added Array"")
for i in range(rowsA):
	row = '|'
	for b in range(colsA):
        row = row + ' ' + str(C[i][b])
	print(row + ' ' + '|')
"
from the following list.	"

datalist = [1452, 11.23, 1 + 2j, True, 'w3resource', (0, -1), [5, 12],
            {""class"": 'V', ""section"": 'A'}]
for item in datalist:
	print(""Type of "", item, "" is "", type(item))
"
Write a function that returns Gets the derivative of exponential of x	"def derivative_exp(x: float) -> float:
	import math
	return math.exp(x)
"
write a python function to return dictionary of two lists using zip	"def dict_using_comp(list1, list2):
	dict_using_comp = {key: value for (key, value) in zip(list1, list2)}
	return dict_using_comp
"
Returns the number of times the specified element appears in the list	"vowels = ['a', 'e', 'i', 'o', 'i', 'u']
count = vowels.count('i')
print('The count of i is:', count)
"
tuple and print it	"

test_tup1 = (10, 4, 5, 6)
test_tup2 = (5, 6, 7, 5)
s = tuple()
print(""The original tuple 1 : "" + str(test_tup1))
print(""The original tuple 2 : "" + str(test_tup2))

for i in range(0, len(test_tup1)):
	s += (test_tup1[i] ** test_tup2[i],)
print(s)
"
write a python program to strip all the vowels in a string	"string = ""Remove Vowel""
vowel = ['a', 'e', 'i', 'o', 'u']
.join([i for i in string if i not in vowel])
"
20 how to check if a list is a subset of another list	"if(all(x in test_list for x in sub_list)):
	flag = True
"
write a python program to print python version using sys	"import sys


print(f""{sys.version}"")
"
for 100 times.	"from timeit import Timer
t = Timer(""for i in range(100):1+1"")
print(t.timeit())
"
Write a python program to make a recursive function to get the sum	"def rec(n):
	if n == 0:
        return n
	return rec(n - 1) + n


n = int(input())
sum = rec(n)
print(sum)
"
a series of numbers and print the result	"

x = (1, 2, 3, 4, 5, 6, 7, 8, 9)
odd = even = 0
for i in x:
	if i % 2 == 0:
        even = even + 1
	else:
        odd = odd + 1

print(""Even Numbers are: "", even)
print(""Odd Numbers are: "", odd)
"
write a python program to convert two lists into dictionary	"

column_names = ['id', 'color', 'style']
column_values = [1, 'red', 'bold']
name_to_value_dict = dict(zip(column_names, column_values))
name_to_value_dict = {
	key: value for key,
	value in zip(
        column_names,
        column_values)}
name_value_tuples = zip(column_names, column_values)
name_to_value_dict = {}
for key, value in name_value_tuples:
	if key in name_to_value_dict:
        pass
	else:
        name_to_value_dict[key] = value
print(name_to_value_dict)
"
logical or logical and	"result = (2 or 3) * (5 and 7)
print('2 * 7 =', result)
"
list of sentence	"

def check(sentence, words):
	res = [all([k in s for k in words]) for s in sentence]
	return [sentence[i] for i in range(0, len(res)) if res[i]]
"
write a Python function to find the Area of Icosahedron	"

def findArea(a):

	area = 5 * 3 ** 0.5 * a * a
	return area


a = 5
print(""Area: "", findArea(a))
"
write a python function to pickle data to a file	"def pickle_data(data, pickle_file):
	import pickle
	with open(pickle_file, 'wb') as f:
        pickle.dump(data, f, pickle.HIGHEST_PROTOCOL)
	return None
"
printNationality.	"class American(object):
	@ staticmethod
	def printNationality():
        print(""America"")


anAmerican = American()
anAmerican.printNationality()
American.printNationality()
"
prints a new list	"list1 = [1, 2, 3, 4, 5]
list2 = [5, 4, 3, 2, 1]
prod_list = [a * b for (a, b) in zip(list1, list2)]
print(prod_list)
"
write a program to print the sine value of a number	"import math
num = 3
print(math.sin(num))
"
make a dictionary with each vowel a key and value 0	"count = {}.fromkeys(vowels, 0)
for char in ip_str:
	if char in count:
        count[char] += 1


print(count)
"
in console.	"def convert_to_str(n):
	print(str(n))
"
write a program to increment number which is at end of string	"

import re

str1 = 'count001'


res = re.sub(r'[0-9]+$',
             lambda x: f""{str(int(x.group())+1).zfill(len(x.group()))}"",
             str1)

print(""Incremented numeric String : "" + str(res))
"
and return height in feet and inches	"cm = int(input(""Enter the height in centimeters:""))
inches = 0.394 * cm
feet = 0.0328 * cm
print(""The length in inches"", round(inches, 2))
print(""The length in feet"", round(feet, 2))
"
calculating compound interest	"ci = p * (pow((1 + r / 100), t))
"
inclusive.	"import random
print(random.randrange(7, 16))
"
removing the 0th, 2nd, 4th,6th numbers in [12,24,35,70,88,120,155].	"li = [12, 24, 35, 70, 88, 120, 155]
li = [x for (i, x) in enumerate(li) if i % 2 != 0]
print(li)
"
write a python function that returns the input list sorted in ascending order	"def sort_ascending(list_to_be_sorted):
	return sorted(list_to_be_sorted)
"
length at the start and prints the modified list	"

def pad_arr_start(arr, pad_len):
	pad_arr = [0] * (pad_len - len(arr))
	pad_arr.extend(arr)
	return pad_arr


tmp = [1, 2, 3, 4, 5]
x = pad_arr_start(tmp, 10)
print(x)
"
Team Members: Santu Hazra, Manu Chauhan, Ammar Adil and Prakash Nishtala	"

import os
import nltk
import string
from collections import Counter
from itertools import permutations, combinations, combinations_with_replacement


letters = string.ascii_lowercase
"
Write a Python function to Find the Intersection of Two Lists	"def intersection(a, b):
	return list(set(a) & set(b))
"
write a python program to add two numbers	"num1 = 5465461
num2 = 8765468
sum = num1 + num2
print(f'Sum: {sum}')
"
using list comprehension	"

test_list1 = [{""HpY"": 22}, {""BirthdaY"": 2}, ]
test_list2 = [{""HpY"": 22}, {""BirthdaY"": 2}, {""Shambhavi"": 2019}]


print(""The original list 1 is : "" + str(test_list1))
print(""The original list 2 is : "" + str(test_list2))


res = [i for i in test_list1 if i not in test_list2] + [j for j in test_list2
                                                        if j not in test_list1]


print(""The set difference of list is : "" + str(res))
"
write a python function to check if a given string is symmetrical	"

def symmetry(a):

	n = len(a)
	flag = 0

	if n % 2:
        mid = n // 2 + 1
	else:
        mid = n // 2

	start1 = 0
	start2 = mid

	while(start1 < mid and start2 < n):

        if (a[start1] == a[start2]):
            start1 = start1 + 1
            start2 = start2 + 1
        else:
            flag = 1
            break

	return flag
"
write Python function to Clear the Rightmost Set Bit of a Number	"def clear_rightmost_set_bit(n):
	return n & (n - 1)
"
a range is given	"N = 20
number_list = [x for x in range(N) if x % 2 == 0]
print(f'List of Even Numbers:', number_list)
"
write a python program to print all prime numbers in a given interval	"lower = 900
upper = 1000
for num in range(lower, upper + 1):
	if num > 1:
        for i in range(2, num):
            if (num % i) == 0:
                break
	else:
        print(num)
"
Write a function to return the perimeter of a triangle	"def cal_perimeter_triangle(s1, s2, s3):
	return s1 + s2 + s3
"
Write a function to adds two lists element wise	"def adds_listelements(l1: list, l2: list):
	return [i + j for i, j in zip(l1, l2)]
"
write a python program to do selection sort	"

A = [64, 25, 12, 22, 11]


for i in range(len(A)):

	min_idx = i
	for j in range(i + 1, len(A)):
        if A[min_idx] > A[j]:
            min_idx = j

	A[i], A[min_idx] = A[min_idx], A[i]


print(""Sorted array"")
for i in range(len(A)):
	print(""%d"" % A[i])
"
write a python program to round up a number and print it	"

import math
x = 2.3
y = math.ceil(x)
print(y)
"
like in mathematic	"

E = {0, 2, 4, 6, 8}
N = {1, 2, 3, 4, 5}


print(""Intersection of E and N is"", E & N)
"
98 write a python function that calculates the midpoint between two numbers	"

def midpoint(a, b):
	lar = b if b > a else a
	sm = a if b > a else b

	return float(lar + sm) / 2
"
Write a function which can compute the factorial of a given numbers.	"def fact(x):
	if x == 0:
        return 1
	return x * fact(x - 1)


x = int(input())
print(fact(x))
"
	"num1 = 1.5
num2 = 6.3
sum = num1 + num2
print(f'Sum: {sum}')
"
Write a program to print bit wise AND of two numbers	"a = 60   
b = 13   


c = a & b  
print(""AND"", c)
"
write a python program to find the smallest multiple of the first n numbers.	"

def smallest_multiple(n):
	if (n <= 2):
        return n
	i = n * 2
	factors = [number for number in range(n, 1, -1) if number * 2 > n]
	print(factors)
	while True:
        for a in factors:
            if i % a != 0:
                i += n
                break
            if (a == factors[-1] and i % a == 0):
                return i
"
write a function to rotate string left by a given length	"
def rotate_left(input, d):

	Lfirst = input[0: d]
	Lsecond = input[d:]
	return (Lsecond + Lfirst)
"
65 write a program to add two matrices using nested loop	"

X = [[12, 7, 3],
     [4, 5, 6],
     [7, 8, 9]]


Y = [[5, 8, 1],
     [6, 7, 3],
     [4, 5, 9]]


result = [[0, 0, 0],
          [0, 0, 0],
          [0, 0, 0]]
"
given 4 points represented as a list	"def bilinear_interpolation(x, y, points):
	points = sorted(points)
	(x1, y1, q11), (_x1, y2, q12), (x2, _y1, q21), (_x2, _y2, q22) = points

	if x1 != _x1 or x2 != _x2 or y1 != _y1 or y2 != _y2:
        raise ValueError('points do not form a rectangle')
	if not x1 <= x <= x2 or not y1 <= y <= y2:
        raise ValueError('(x, y) not within the rectangle')

	return (q11 * (x2 - x) * (y2 - y)
                    + q21 * (x - x1) * (y2 - y)
                    + q12 * (x2 - x) * (y - y1)
            + q22 * (x - x1) * (y - y1)
            ) / ((x2 - x1) * (y2 - y1) + 0.0)
"
environment	"import os


def get_env_path(key):
	return os.getenv(key)
"
write a python program to check and print if a number is prime	"num = 407
if num > 1:
	for i in range(2, num):
        if (num % i) == 0:
            print(num, ""is not a prime number"")
            break
        else:
            print(num, ""is a prime number"")
else:
	print(num, ""is not a prime number"")
"
write a python program to replace blank space to 1	"print([i + j for i in ""abc"" for j in ""def""])
"
93 write a program to find sum of all digits of a number	"

def sumDigits(num):
	if num == 0:
        return 0
	else:
        return num % 10 + sumDigits(int(num / 10))


x = 0
print(""Number: "", x)
print(""Sum of digits: "", sumDigits(x))
print()
"
write a program to print number of characters in a string	"

str1 = 'It is a glorious day'


res = len(str1)


print(""The number of characters in string are : "", str(res))
"
write a python program to print the factorial of a number	"num = 5
fact = 1
while num > 0:
	fact *= num
	num -= 1
print(fact)
"
7 write a python function to return every nth number from a list	"

def every_nth_number(lst, n):
	return lst[::n]
"
lists) with zeros and print the output.	"nums = []


for i in range(3):

	nums.append([])

	for j in range(2):

        nums[i].append(0)
print(""Multidimensional list:"")
print(nums)
"
write a python function to remove all punctuation from a string	"def remove_punctuations(sentence):
	punctuations = '''!()-[]{};:'""\\,<>./?@#$%^&*_~'''
	no_punct = ''
	for char in sentence:
        if char not in punctuations:
            no_punct = no_punct + char
	return no_punct
"
write a python program to count how many times each letter occurs in a string	"string = 'The quick brown fox jumps over the lazy dog'
countmap = {}
for letter in string:
	if letter in countmap:
        countmap[letter] += 1
	else:
        countmap[letter] = 1
print(f'Count of letters: {countmap}')
"
principle amount, rate of interest and time is given	"def compound_interest(p, r, t):
	ci = p * (pow((1 + r / 100), t))
	return ci
"
using for loop to iterate multiplication 10 times	"for i in range(1, 11):
	print(num, 'x', i, '=', num * i)
"
write a python function for bitwise division with given number of shifts	"def bit_div(n, shift):
	return n >> shift
"
write a program to convert tuple to list	"t = (1, 2, 4, 5, 6)
print(f'list:{list(t)}')
"
Write a Python function to find the median among three given numbers	"def find_the_median(x, y, z):
	list_ = sorted([x, y, z])
	return list_[1]
"
a dictionary	"def count_value(d: dict, value) -> bool:
	return list(v == value for v in dict.values()).count(True)
"
l, bredth b and height h	"def cal_surface_area_cuboid(l, b, h):
	return 2 * (l * b + b * h + h * l)
"
write a python function to map multiple lists using zip	"def map_values(*args):
	return set(zip(*args))
"
Write a python program to implement Dequeue	"

class Dequeue:
	def __init__(self):
        self.items = []

	def is_empty(self):
        return self.items == []

	def append(self, data):
        self.items.append(data)

	def append_left(self, data):
        self.items.insert(0, data)

	def pop(self):
        return self.items.pop()

	def pop_left(self):
        return self.items.pop(0)


q = Dequeue()
print('Menu')
print('append <value>')
print('appendleft <value>')
print('pop')
print('popleft')
print('quit')

while True:
	do = input('What would you like to do? ').split()

	operation = do[0].strip().lower()
	if operation == 'append':
        q.append(int(do[1]))
	elif operation == 'appendleft':
        q.append_left(int(do[1]))
	elif operation == 'pop':
        if q.is_empty():
            print('Dequeue is empty.')
        else:
            print('Popped value from right: ', q.pop())
	elif operation == 'popleft':
        if q.is_empty():
            print('Dequeue is empty.')
        else:
            print('Popped value from left: ', q.pop_left())
	elif operation == 'quit':
        break
"
